연도,시도,시군구,사고[건],사망[명],부상[명],중상자[명],경상자[명],부상신고자[명]
2022,경기,군포시,152,6,154,56,91,7
2022,경기,남양주시,416,10,426,173,226,27
2022,경기,오산시,154,1,158,56,81,21
2022,경기,의왕시,37,5,33,21,10,2
2022,경기,하남시,154,1,160,55,90,15
2022,강원,춘천시,258,4,262,74,155,33
2022,강원,원주시,256,8,264,104,154,6
2022,강원,동해시,53,1,54,19,34,1
2022,강원,강릉시,162,3,166,68,97,1
2022,강원,속초시,87,3,90,50,38,2
2022,강원,태백시,32,2,31,10,18,3
2022,강원,삼척시,54,3,52,26,26,0
2022,강원,홍천군,39,2,40,11,24,5
2022,강원,횡성군,21,3,22,10,12,0
2022,강원,영월군,23,3,21,9,7,5
2022,강원,평창군,18,2,18,6,11,1
2022,강원,정선군,22,0,22,10,12,0
2022,강원,철원군,28,0,29,18,11,0
2022,강원,화천군,11,1,10,3,6,1
2022,강원,양구군,13,1,12,3,8,1
2022,강원,인제군,10,0,14,4,8,2
2022,강원,고성군,21,0,23,8,15,0
2022,강원,양양군,31,4,31,11,19,1
2022,충북,청주시,604,13,611,233,354,24
2022,충북,충주시,150,10,143,51,91,1
2022,충북,제천시,116,3,120,53,63,4
2022,충북,보은군,21,0,21,9,12,0
2022,충북,옥천군,33,0,33,18,15,0
2022,충북,영동군,24,0,25,14,9,2
2022,충북,진천군,49,1,52,20,32,0
2022,충북,괴산군,22,1,21,13,7,1
2022,충북,음성군,66,3,66,32,32,2
2022,충북,단양군,20,1,21,12,9,0
2022,충북,증평군,30,2,29,14,11,4
2022,충남,천안시,506,21,506,160,315,31
2022,충남,아산시,206,8,208,99,101,8
2022,충남,보령시,85,5,81,39,39,3
2022,충남,공주시,69,3,69,29,39,1
2022,충남,서산시,142,4,143,67,70,6
2022,충남,금산군,45,1,49,30,19,0
2022,충남,태안군,55,4,54,23,26,5
2022,충남,논산시,73,5,71,41,29,1
2022,충남,부여군,42,4,42,33,9,0
2022,충남,서천군,62,5,61,23,37,1
2022,충남,청양군,19,1,18,9,9,0
2022,충남,홍성군,48,6,44,27,17,0
2022,충남,예산군,43,4,41,17,23,1
2022,충남,당진시,87,5,89,35,51,3
2022,충남,계룡시,9,0,10,8,2,0
2022,전북,전주시,445,12,468,197,269,2
2022,전북,군산시,240,10,234,71,141,22
2022,전북,정읍시,83,4,82,41,41,0
2022,전북,남원시,46,3,44,21,23,0
2022,전북,김제시,60,2,62,32,29,1
2022,전북,완주군,34,5,30,18,11,1
2022,전북,진안군,17,2,17,10,7,0
2022,전북,무주군,16,2,14,8,6,0
2022,전북,장수군,11,1,10,4,6,0
2022,전북,임실군,14,1,13,9,3,1
2022,전북,순창군,18,4,15,5,9,1
2022,전북,고창군,25,2,23,12,11,0
2022,전북,부안군,33,4,30,18,12,0
